CAMPO FV;"SOTTOCAMPI INVERTER  BOX";N. STRINGHE PER MPPT;MPPT numero
T1;1.01;2;1
T1;1.01;2;2
T1;1.01;2;3
T1;1.01;2;4
T1;1.01;2;5
T1;1.01;2;6
T1;1.01;2;7
T1;1.01;2;8
T1;1.01;2;9
T1;1.01;2;10
T1;1.01;1;11
T1;1.01;1;12
T1;1.02;2;1
T1;1.02;2;2
T1;1.02;2;3
T1;1.02;2;4
T1;1.02;2;5
T1;1.02;2;6
T1;1.02;2;7
T1;1.02;2;8
T1;1.02;2;9
T1;1.02;2;10
T1;1.02;1;11
T1;1.02;1;12
T1;1.03;2;1
T1;1.03;2;2
T1;1.03;2;3
T1;1.03;2;4
T1;1.03;2;5
T1;1.03;2;6
T1;1.03;2;7
T1;1.03;2;8
T1;1.03;2;9
T1;1.03;2;10
T1;1.03;1;11
T1;1.03;1;12
T1;1.04;2;1
T1;1.04;2;2
T1;1.04;2;3
T1;1.04;2;4
T1;1.04;2;5
T1;1.04;2;6
T1;1.04;2;7
T1;1.04;2;8
T1;1.04;2;9
T1;1.04;2;10
T1;1.04;1;11
T1;1.04;1;12
T1;1.05;2;1
T1;1.05;2;2
T1;1.05;2;3
T1;1.05;2;4
T1;1.05;2;5
T1;1.05;2;6
T1;1.05;2;7
T1;1.05;2;8
T1;1.05;2;9
T1;1.05;2;10
T1;1.05;1;11
T1;1.05;1;12
T1;1.06;2;1
T1;1.06;2;2
T1;1.06;2;3
T1;1.06;2;4
T1;1.06;2;5
T1;1.06;2;6
T1;1.06;2;7
T1;1.06;2;8
T1;1.06;2;9
T1;1.06;2;10
T1;1.06;1;11
T1;1.06;1;12
T1;1.07;2;1
T1;1.07;2;2
T1;1.07;2;3
T1;1.07;2;4
T1;1.07;2;5
T1;1.07;2;6
T1;1.07;2;7
T1;1.07;2;8
T1;1.07;2;9
T1;1.07;2;10
T1;1.07;1;11
T1;1.07;1;12
T1;1.08;2;1
T1;1.08;2;2
T1;1.08;2;3
T1;1.08;2;4
T1;1.08;2;5
T1;1.08;2;6
T1;1.08;2;7
T1;1.08;2;8
T1;1.08;2;9
T1;1.08;2;10
T1;1.08;2;11
T1;1.08;1;12
T1;1.09;2;1
T1;1.09;2;2
T1;1.09;2;3
T1;1.09;2;4
T1;1.09;2;5
T1;1.09;2;6
T1;1.09;2;7
T1;1.09;2;8
T1;1.09;2;9
T1;1.09;2;10
T1;1.09;2;11
T1;1.09;1;12
T1;1.10;2;1
T1;1.10;2;2
T1;1.10;2;3
T1;1.10;2;4
T1;1.10;2;5
T1;1.10;2;6
T1;1.10;2;7
T1;1.10;2;8
T1;1.10;2;9
T1;1.10;2;10
T1;1.10;2;11
T1;1.10;1;12
T1;1.11;2;1
T1;1.11;2;2
T1;1.11;2;3
T1;1.11;2;4
T1;1.11;2;5
T1;1.11;2;6
T1;1.11;2;7
T1;1.11;2;8
T1;1.11;2;9
T1;1.11;2;10
T1;1.11;2;11
T1;1.11;1;12
T1;1.12;2;1
T1;1.12;2;2
T1;1.12;2;3
T1;1.12;2;4
T1;1.12;2;5
T1;1.12;2;6
T1;1.12;2;7
T1;1.12;2;8
T1;1.12;2;9
T1;1.12;2;10
T1;1.12;1;11
T1;1.12;1;12
T2;2.01;2;1
T2;2.01;2;2
T2;2.01;2;3
T2;2.01;2;4
T2;2.01;2;5
T2;2.01;2;6
T2;2.01;2;7
T2;2.01;1;8
T2;2.01;2;9
T2;2.01;2;10
T2;2.01;1;11
T2;2.01;1;12
T2;2.02;2;1
T2;2.02;2;2
T2;2.02;2;3
T2;2.02;2;4
T2;2.02;2;5
T2;2.02;2;6
T2;2.02;2;7
T2;2.02;2;8
T2;2.02;2;9
T2;2.02;2;10
T2;2.02;1;11
T2;2.02;1;12
T2;2.03;2;1
T2;2.03;2;2
T2;2.03;2;3
T2;2.03;2;4
T2;2.03;2;5
T2;2.03;2;6
T2;2.03;2;7
T2;2.03;2;8
T2;2.03;2;9
T2;2.03;2;10
T2;2.03;1;11
T2;2.03;1;12
T2;2.04;2;1
T2;2.04;2;2
T2;2.04;2;3
T2;2.04;2;4
T2;2.04;2;5
T2;2.04;2;6
T2;2.04;2;7
T2;2.04;2;8
T2;2.04;2;9
T2;2.04;1;10
T2;2.04;1;11
T2;2.04;1;12
T2;2.05;2;1
T2;2.05;2;2
T2;2.05;2;3
T2;2.05;2;4
T2;2.05;2;5
T2;2.05;2;6
T2;2.05;2;7
T2;2.05;2;8
T2;2.05;2;9
T2;2.05;1;10
T2;2.05;1;11
T2;2.05;1;12
T2;2.06;2;1
T2;2.06;2;2
T2;2.06;2;3
T2;2.06;2;4
T2;2.06;2;5
T2;2.06;2;6
T2;2.06;2;7
T2;2.06;2;8
T2;2.06;2;9
T2;2.06;2;10
T2;2.06;2;11
T2;2.06;1;12
T2;2.07;2;1
T2;2.07;2;2
T2;2.07;2;3
T2;2.07;2;4
T2;2.07;2;5
T2;2.07;2;6
T2;2.07;2;7
T2;2.07;2;8
T2;2.07;2;9
T2;2.07;2;10
T2;2.07;1;11
T2;2.07;1;12
T2;2.08;2;1
T2;2.08;2;2
T2;2.08;2;3
T2;2.08;2;4
T2;2.08;2;5
T2;2.08;2;6
T2;2.08;2;7
T2;2.08;2;8
T2;2.08;2;9
T2;2.08;2;10
T2;2.08;2;11
T2;2.08;1;12
T2;2.09;2;1
T2;2.09;2;2
T2;2.09;2;3
T2;2.09;2;4
T2;2.09;2;5
T2;2.09;2;6
T2;2.09;2;7
T2;2.09;2;8
T2;2.09;2;9
T2;2.09;2;10
T2;2.09;2;11
T2;2.09;1;12
T2;2.10;2;1
T2;2.10;2;2
T2;2.10;2;3
T2;2.10;2;4
T2;2.10;2;5
T2;2.10;2;6
T2;2.10;2;7
T2;2.10;2;8
T2;2.10;2;9
T2;2.10;2;10
T2;2.10;1;11
T2;2.10;1;12
T2;2.11;2;1
T2;2.11;2;2
T2;2.11;2;3
T2;2.11;2;4
T2;2.11;2;5
T2;2.11;2;6
T2;2.11;2;7
T2;2.11;2;8
T2;2.11;2;9
T2;2.11;2;10
T2;2.11;2;11
T2;2.11;1;12
T2;2.12;2;1
T2;2.12;2;2
T2;2.12;2;3
T2;2.12;2;4
T2;2.12;2;5
T2;2.12;2;6
T2;2.12;2;7
T2;2.12;2;8
T2;2.12;2;9
T2;2.12;2;10
T2;2.12;2;11
T2;2.12;1;12
T3;3.01;2;1
T3;3.01;2;2
T3;3.01;2;3
T3;3.01;1;4
T3;3.01;2;5
T3;3.01;2;6
T3;3.01;2;7
T3;3.01;2;8
T3;3.01;2;9
T3;3.01;2;10
T3;3.01;2;11
T3;3.01;2;12
T3;3.02;2;1
T3;3.02;2;2
T3;3.02;2;3
T3;3.02;2;4
T3;3.02;2;5
T3;3.02;2;6
T3;3.02;2;7
T3;3.02;2;8
T3;3.02;2;9
T3;3.02;2;10
T3;3.02;2;11
T3;3.02;1;12
T3;3.03;2;1
T3;3.03;2;2
T3;3.03;2;3
T3;3.03;2;4
T3;3.03;2;5
T3;3.03;2;6
T3;3.03;2;7
T3;3.03;2;8
T3;3.03;2;9
T3;3.03;2;10
T3;3.03;2;11
T3;3.03;1;12
T3;3.04;2;1
T3;3.04;2;2
T3;3.04;2;3
T3;3.04;2;4
T3;3.04;2;5
T3;3.04;2;6
T3;3.04;2;7
T3;3.04;2;8
T3;3.04;2;9
T3;3.04;2;10
T3;3.04;2;11
T3;3.04;1;12
T3;3.05;2;1
T3;3.05;2;2
T3;3.05;2;3
T3;3.05;2;4
T3;3.05;2;5
T3;3.05;2;6
T3;3.05;2;7
T3;3.05;2;8
T3;3.05;2;9
T3;3.05;2;10
T3;3.05;2;11
T3;3.05;1;12
T3;3.06;2;1
T3;3.06;2;2
T3;3.06;2;3
T3;3.06;2;4
T3;3.06;2;5
T3;3.06;2;6
T3;3.06;2;7
T3;3.06;2;8
T3;3.06;2;9
T3;3.06;2;10
T3;3.06;2;11
T3;3.06;1;12
T3;3.07;2;1
T3;3.07;2;2
T3;3.07;2;3
T3;3.07;2;4
T3;3.07;2;5
T3;3.07;2;6
T3;3.07;2;7
T3;3.07;2;8
T3;3.07;2;9
T3;3.07;2;10
T3;3.07;2;11
T3;3.07;1;12
T3;3.08;2;1
T3;3.08;2;2
T3;3.08;2;3
T3;3.08;2;4
T3;3.08;2;5
T3;3.08;2;6
T3;3.08;2;7
T3;3.08;2;8
T3;3.08;2;9
T3;3.08;2;10
T3;3.08;2;11
T3;3.08;1;12
T3;3.09;2;1
T3;3.09;2;2
T3;3.09;2;3
T3;3.09;2;4
T3;3.09;2;5
T3;3.09;2;6
T3;3.09;2;7
T3;3.09;2;8
T3;3.09;2;9
T3;3.09;2;10
T3;3.09;2;11
T3;3.09;1;12
T3;3.10;2;1
T3;3.10;2;2
T3;3.10;2;3
T3;3.10;2;4
T3;3.10;2;5
T3;3.10;2;6
T3;3.10;2;7
T3;3.10;2;8
T3;3.10;2;9
T3;3.10;2;10
T3;3.10;2;11
T3;3.10;1;12
T3;3.11;2;1
T3;3.11;2;2
T3;3.11;2;3
T3;3.11;2;4
T3;3.11;2;5
T3;3.11;2;6
T3;3.11;2;7
T3;3.11;2;8
T3;3.11;2;9
T3;3.11;2;10
T3;3.11;2;11
T3;3.11;1;12
T3;3.12;2;1
T3;3.12;2;2
T3;3.12;2;3
T3;3.12;2;4
T3;3.12;2;5
T3;3.12;2;6
T3;3.12;2;7
T3;3.12;2;8
T3;3.12;2;9
T3;3.12;1;10
T3;3.12;1;11
T3;3.12;1;12
